Date,Open,High,Low,Close,Adj Close,Volume,Percentage Change
2023-08-01,144.250000,144.479996,142.169998,143.330002,140.110352,4797700,-0.64
2023-08-02,142.779999,144.300003,142.309998,144.169998,140.931473,4957400,0.97
2023-08-03,143.779999,145.220001,143.309998,144.449997,141.205185,3951900,0.47
2023-08-04,145.089996,146.089996,143.990005,144.240005,140.999908,4223100,-0.59
2023-08-07,145.000000,146.500000,144.929993,146.179993,142.896317,3438700,0.81
2023-08-08,145.699997,146.149994,144.110001,145.910004,142.632385,4654600,0.14
2023-08-09,144.940002,144.940002,142.300003,142.490005,140.892136,4072900,-1.69
2023-08-10,143.039993,144.580002,142.690002,143.250000,141.643600,4735800,0.15
2023-08-11,143.119995,143.449997,142.210007,143.119995,141.515060,2526000,0.00
2023-08-14,143.050003,143.369995,141.800003,141.910004,140.318634,4226400,-0.80
2023-08-15,141.500000,142.309998,141.199997,141.869995,140.279068,3656600,0.26
2023-08-16,141.699997,142.089996,140.559998,140.639999,139.062866,3285300,-0.75
2023-08-17,141.009995,142.660004,140.600006,140.660004,139.082642,3742100,-0.25
2023-08-18,140.000000,141.830002,139.759995,141.410004,139.824234,3914700,1.01
2023-08-21,141.419998,142.389999,141.110001,142.279999,140.684479,2937800,0.61
2023-08-22,142.660004,143.229996,141.300003,141.490005,139.903336,3557500,-0.82
2023-08-23,141.720001,143.479996,141.580002,143.410004,141.801804,2559100,1.19
2023-08-24,143.509995,144.470001,143.220001,143.550003,141.940247,2900200,0.03
2023-08-25,144.179993,145.470001,143.500000,145.350006,143.720062,3660100,0.81
2023-08-28,145.410004,146.740005,145.210007,146.020004,144.382538,3561100,0.42
2023-08-29,146.300003,146.729996,145.619995,146.449997,144.807709,2778100,0.10
2023-08-30,146.419998,146.919998,145.750000,146.860001,145.213120,2245400,0.30
2023-08-31,146.940002,147.729996,146.539993,146.830002,145.183456,3885900,-0.07
2023-09-01,147.259995,148.100006,146.919998,147.940002,146.281006,2727500,0.46
2023-09-05,147.910004,149.000000,147.570007,148.130005,146.468887,3731300,0.15
2023-09-06,147.660004,148.330002,147.119995,148.059998,146.399658,2932200,0.27
2023-09-07,148.130005,148.779999,147.399994,147.520004,145.865723,3332900,-0.41
2023-09-08,147.350006,148.589996,147.259995,147.679993,146.023911,3722800,0.22
2023-09-11,148.570007,148.779999,147.580002,148.380005,146.716080,3273600,-0.13
2023-09-12,147.919998,148.000000,145.800003,146.300003,144.659393,4457700,-1.10
2023-09-13,145.949997,146.979996,145.919998,146.550003,144.906601,2627800,0.41
2023-09-14,147.380005,147.729996,146.479996,147.350006,145.697632,2723100,-0.02
2023-09-15,147.110001,147.850006,145.529999,145.990005,144.352875,6231400,-0.76
2023-09-18,145.770004,146.479996,145.059998,145.089996,143.462967,2508100,-0.47
2023-09-19,145.000000,146.720001,144.660004,146.520004,144.876938,3945400,1.05
2023-09-20,148.360001,151.929993,148.130005,149.830002,148.149811,9632400,0.99
2023-09-21,149.000000,149.250000,147.309998,147.380005,145.727295,4944600,-1.09
